Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint)",,False
constructor(),"Levblockchain, cost_LVE, Levblockchain_token",False
"function()payableexternal{require(!private_sale_off);uintamount=msg.value;balanceOf[msg.sender]+=amount;ether_raised+=amount;Levblockchain_token.transfer(msg.sender,amount*cost_LVE);emitvalue_Transfer(msg.sender,amount,true);}()","balanceOf, ether_raised, Levblockchain_token, cost_LVE",True
draw(),"Levblockchain, ether_raised, Levblockchain, ether_raised",True
draw(uint),"Levblockchain, Levblockchain_token, Levblockchain",True
